train 0th step, total_latency: 1.151708740234375sec, forward_time: 0.9305089111328125sec, backward_time: 0.2209990692138672sec, step_time: 0.00020080000162124632sec, 
train 1th step, total_latency: 0.01536844825744629sec, forward_time: 0.002188096046447754sec, backward_time: 0.013048447608947755sec, step_time: 0.0001319040060043335sec, 
train 2th step, total_latency: 0.012424960136413574sec, forward_time: 0.0016360000371932984sec, backward_time: 0.010657567977905274sec, step_time: 0.00013139200210571288sec, 
train 3th step, total_latency: 0.012772543907165528sec, forward_time: 0.0016787840127944946sec, backward_time: 0.010962528228759766sec, step_time: 0.00013123199343681335sec, 
train 4th step, total_latency: 0.012824511528015137sec, forward_time: 0.0017015680074691773sec, backward_time: 0.010990847587585449sec, step_time: 0.00013209599256515503sec, 
train 5th step, total_latency: 0.012874496459960938sec, forward_time: 0.0016493760347366332sec, backward_time: 0.011091936111450195sec, step_time: 0.0001331840008497238sec, 
train 6th step, total_latency: 0.013100031852722169sec, forward_time: 0.0016415040493011474sec, backward_time: 0.0113274564743042sec, step_time: 0.00013107199966907502sec, 
train 7th step, total_latency: 0.012947903633117677sec, forward_time: 0.001697376012802124sec, backward_time: 0.011119487762451172sec, step_time: 0.00013104000687599182sec, 
train 8th step, total_latency: 0.012959712028503418sec, forward_time: 0.001686400055885315sec, backward_time: 0.011142848014831543sec, step_time: 0.00013046400249004363sec, 
train 9th step, total_latency: 0.012892512321472168sec, forward_time: 0.0016280640363693238sec, backward_time: 0.01113327980041504sec, step_time: 0.00013116799294948578sec, 
train 10th step, total_latency: 0.012708864212036132sec, forward_time: 0.001626911997795105sec, backward_time: 0.010949376106262208sec, step_time: 0.00013257600367069244sec, 
train 11th step, total_latency: 0.012625120162963866sec, forward_time: 0.0016122239828109742sec, backward_time: 0.010881535530090332sec, step_time: 0.0001313599944114685sec, 
train 12th step, total_latency: 0.012500960350036621sec, forward_time: 0.0015717120170593262sec, backward_time: 0.010798848152160645sec, step_time: 0.00013040000200271605sec, 
train 13th step, total_latency: 0.01249283218383789sec, forward_time: 0.0016515519618988037sec, backward_time: 0.010708864212036134sec, step_time: 0.0001324159950017929sec, 
train 14th step, total_latency: 0.012244095802307129sec, forward_time: 0.0015630079507827758sec, backward_time: 0.010550144195556641sec, step_time: 0.00013094399869441987sec, 
train 15th step, total_latency: 0.0123984956741333sec, forward_time: 0.0016020480394363403sec, backward_time: 0.010664192199707032sec, step_time: 0.00013225600123405455sec, 
train 16th step, total_latency: 0.012612863540649414sec, forward_time: 0.0016281919479370116sec, backward_time: 0.010853983879089356sec, step_time: 0.00013068799674510956sec, 
train 17th step, total_latency: 0.012645183563232422sec, forward_time: 0.001580832004547119sec, backward_time: 0.010932319641113282sec, step_time: 0.00013203200697898865sec, 
train 18th step, total_latency: 0.012812959671020507sec, forward_time: 0.0016110399961471557sec, backward_time: 0.011070079803466797sec, step_time: 0.00013184000551700592sec, 
train 19th step, total_latency: 0.013068927764892577sec, forward_time: 0.0016290559768676759sec, backward_time: 0.011307871818542481sec, step_time: 0.00013199999928474427sec, 
train 20th step, total_latency: 0.013276255607604981sec, forward_time: 0.0015953279733657837sec, backward_time: 0.011079456329345703sec, step_time: 0.000601472020149231sec, 
train 21th step, total_latency: 0.012921024322509765sec, forward_time: 0.0016328320503234863sec, backward_time: 0.011156831741333008sec, step_time: 0.0001313599944114685sec, 
train 22th step, total_latency: 0.012958687782287598sec, forward_time: 0.0015647039413452149sec, backward_time: 0.011263008117675782sec, step_time: 0.00013097600638866424sec, 
train 23th step, total_latency: 0.0129071683883667sec, forward_time: 0.0016083199977874757sec, backward_time: 0.011167167663574219sec, step_time: 0.0001316799968481064sec, 
train 24th step, total_latency: 0.012901439666748046sec, forward_time: 0.00158953595161438sec, backward_time: 0.01118019199371338sec, step_time: 0.00013171200454235076sec, 
train 25th step, total_latency: 0.012802176475524903sec, forward_time: 0.0015737919807434083sec, backward_time: 0.011096416473388672sec, step_time: 0.00013196800649166107sec, 
train 26th step, total_latency: 0.012844032287597656sec, forward_time: 0.0016358720064163208sec, backward_time: 0.011077055931091309sec, step_time: 0.0001311040073633194sec, 
train 27th step, total_latency: 0.012880607604980469sec, forward_time: 0.0016323200464248657sec, backward_time: 0.011115967750549316sec, step_time: 0.00013232000172138213sec, 
train 28th step, total_latency: 0.012931391716003418sec, forward_time: 0.001612928032875061sec, backward_time: 0.011187552452087402sec, step_time: 0.00013091200590133667sec, 
train 29th step, total_latency: 0.012922528266906739sec, forward_time: 0.0015680320262908935sec, backward_time: 0.011222432136535645sec, step_time: 0.00013206399977207185sec, 
train 30th step, total_latency: 0.013006112098693848sec, forward_time: 0.0016064000129699706sec, backward_time: 0.011268927574157714sec, step_time: 0.0001307840049266815sec, 
train 31th step, total_latency: 0.012976672172546387sec, forward_time: 0.001589184045791626sec, backward_time: 0.011254752159118652sec, step_time: 0.0001327359974384308sec, 
train 32th step, total_latency: 0.012820351600646972sec, forward_time: 0.0016270719766616822sec, backward_time: 0.011062111854553223sec, step_time: 0.00013116799294948578sec, 
train 33th step, total_latency: 0.012923423767089843sec, forward_time: 0.001578112006187439sec, backward_time: 0.011212767601013184sec, step_time: 0.00013254399597644807sec, 
train 34th step, total_latency: 0.012905792236328125sec, forward_time: 0.001632863998413086sec, backward_time: 0.011141663551330566sec, step_time: 0.00013126400113105773sec, 
train 35th step, total_latency: 0.012910783767700195sec, forward_time: 0.001569375991821289sec, backward_time: 0.011208959579467773sec, step_time: 0.00013244800269603728sec, 
