Let's use 2 GPUs!
Start training, 2024-06-18 08:27:20.956847
epoch # 1 done, 2024-06-18 08:27:30.198729
epoch # 2 done, 2024-06-18 08:27:36.805202
epoch # 3 done, 2024-06-18 08:27:43.438308
epoch # 4 done, 2024-06-18 08:27:50.123840
epoch # 5 done, 2024-06-18 08:27:56.850248
epoch # 6 done, 2024-06-18 08:28:03.567461
epoch # 7 done, 2024-06-18 08:28:10.409558
epoch # 8 done, 2024-06-18 08:28:17.114641
epoch # 9 done, 2024-06-18 08:28:23.858983
epoch # 10 done, 2024-06-18 08:28:30.687804
Total time : 0:01:09.730957
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: IndexBackward0         0.14%     128.799ms         4.12%        3.668s     623.788us       0.000us         0.00%       11.327s       1.926ms          5880  
                                         IndexBackward0         0.10%      89.371ms         3.92%        3.489s     593.432us       0.000us         0.00%       11.314s       1.924ms          5880  
                                 aten::_index_put_impl_         0.71%     629.881ms         3.45%        3.075s     522.913us        8.697s        40.35%       11.254s       1.914ms          5880  
void (anonymous namespace)::indexing_backward_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us        7.116s        33.01%        7.116s       1.210ms          5880  
                                        model_inference        26.55%       23.649s        78.07%       69.549s       69.549s       0.000us         0.00%        6.024s        6.024s             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.30%     266.197ms         5.40%        4.813s     409.226us       0.000us         0.00%        3.021s     256.858us         11760  
                             aten::convolution_backward         2.27%        2.025s         4.91%        4.375s     372.046us        1.977s         9.17%        3.021s     256.858us         11760  
                                   ConvolutionBackward0         0.19%     171.043ms         5.10%        4.546s     386.574us       0.000us         0.00%        3.020s     256.827us         11760  
                                   DataParallel.forward         5.79%        5.156s        12.92%       11.506s       5.870ms       0.000us         0.00%        2.501s       1.276ms          1960  
                                       cudaLaunchKernel         6.21%        5.533s         6.23%        5.554s      12.535us        1.675s         7.77%        1.734s       3.914us        443096  
                                            aten::copy_         0.62%     549.337ms         2.59%        2.305s      69.166us        1.380s         6.40%        1.490s      44.706us         33320  
                                         aten::_to_copy         0.26%     234.579ms         3.45%        3.077s     104.677us       0.000us         0.00%        1.449s      49.280us         29400  
                                               aten::to         0.11%     101.265ms         3.55%        3.165s      73.382us       0.000us         0.00%        1.445s      33.507us         43130  
                                          aten::nonzero         0.64%     573.112ms         1.56%        1.390s     236.475us     988.414ms         4.59%        1.409s     239.681us          5880  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us        1.356s         6.29%        1.356s      98.901us         13710  
